Extraction sheet name,Data file (doi),LSR no.,Extraction sheet dimension,Variable to extract,Understandable label for database,Class ID,Class  label,Class definition,Parent class,Ontology spreadsheet,Organised under,COMBO or not?,COMBO
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcome,AE,Adverse event,GMHO:0000047,adverse event following an intervention,A pathological bodily process that occurs after the intervention delivery starts.,pathological bodily process,Intervention outcomes and spillover effects,Outcome,COMBO,"GMHO:0000047,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcome,AE,Adverse event,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,Outcome,COMBO,"GMHO:0000047,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anhedonia_baseline_direction,Baseline anhedonia scale directionality,GMHO:0000201,anhedonia scale,A measurement scale that is used to measure anhedonia symptom severity.,measurement scale,Intervention population,"GMHO:0000131,GMHO:0000209",COMBO,"GMHO:0000201,GMHO:0000212"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anhedonia_baseline_scale,Baseline anhedonia scale,GMHO:0000201,anhedonia scale,A measurement scale that is used to measure anhedonia symptom severity.,measurement scale,Intervention population,"GMHO:0000131,GMHO:0000209",COMBO,"GMHO:0000201,GMHO:0000212"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_direction,Followup anhedonia scale directionality,GMHO:0000201,anhedonia scale,A measurement scale that is used to measure anhedonia symptom severity.,measurement scale,Intervention outcomes and spillover effects,"GMHO:0000131,GMHO:0000204",COMBO,"GMHO:0000201,GMHO:0000205"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_scale,Followup anhedonia scale,GMHO:0000201,anhedonia scale,A measurement scale that is used to measure anhedonia symptom severity.,measurement scale,Intervention outcomes and spillover effects,"GMHO:0000131,GMHO:0000204",COMBO,"GMHO:0000201,GMHO:0000205"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anhedonia_baseline_mean,Mean baseline anhedonia,GMHO:0000131,anhedonia symptom severity,Symptom severity that is associated with anhedonia.,symptom severity,Intervention population,GMHO:0000087 (Population),COMBO,"GMHO:0000131,GMHO:0000209"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anhedonia_baseline_n,Number of participants for whom baseline anhedonia was measured,GMHO:0000131,anhedonia symptom severity,Symptom severity that is associated with anhedonia.,symptom severity,Intervention population,GMHO:0000087 (Population),COMBO,"GMHO:0000131,GMHO:0000209"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anhedonia_baseline_sd,Standard deviation of baseline anhedonia,GMHO:0000131,anhedonia symptom severity,Symptom severity that is associated with anhedonia.,symptom severity,Intervention population,GMHO:0000087 (Population),COMBO,"GMHO:0000131,GMHO:0000209"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_mean,Mean followup anhedonia,GMHO:0000131,anhedonia symptom severity,Symptom severity that is associated with anhedonia.,symptom severity,Intervention outcomes and spillover effects,GMHO:0000087 (Outcome),COMBO,"GMHO:0000131,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_n,Number of participants for whom followup anhedonia was measured,GMHO:0000131,anhedonia symptom severity,Symptom severity that is associated with anhedonia.,symptom severity,Intervention outcomes and spillover effects,GMHO:0000087 (Outcome),COMBO,"GMHO:0000131,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_sd,Standard deviation of followup anhedonia,GMHO:0000131,anhedonia symptom severity,Symptom severity that is associated with anhedonia.,symptom severity,Intervention outcomes and spillover effects,GMHO:0000087 (Outcome),COMBO,"GMHO:0000131,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_time,Timepoint of followup anhedonia measurement (weeks),GMHO:0000131,anhedonia symptom severity,Symptom severity that is associated with anhedonia.,symptom severity,Intervention outcomes and spillover effects,"GMHO:0000131,GMHO:0000204",COMBO,"GMHO:0000131,GMHO:0000210"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_type,Data type: endpoint vs. baseline difference in anhedonia symptom severity,GMHO:0000131,anhedonia symptom severity,Symptom severity that is associated with anhedonia.,symptom severity,Intervention outcomes and spillover effects,GMHO:0000087 (Outcome),COMBO,"GMHO:0000131,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anxiety_baseline_direction,Baseline anxiety scale directionality,GMHO:0000202,anxiety scale,A measurement scale that is used to measure anxiety symptom severity.,measurement scale,Intervention population,"GMHO:0000143,GMHO:0000209",COMBO,"GMHO:0000202,GMHO:0000212"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_baseline_scale,Baseline anxiety scale,GMHO:0000202,anxiety scale,A measurement scale that is used to measure anxiety symptom severity.,measurement scale,Intervention population,"GMHO:0000143,GMHO:0000209",COMBO,"GMHO:0000202,GMHO:0000212"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_direction,Followup anxiety scale directionality,GMHO:0000202,anxiety scale,A measurement scale that is used to measure anxiety symptom severity.,measurement scale,Intervention outcomes and spillover effects,"GMHO:0000143,GMHO:0000204",COMBO,"GMHO:0000202,GMHO:0000205"
